"Index";"date";"CC";"CK";"CF";"IDA";"IDP";"ICA";"ICP";"OIA";"OIP";"EO";"ACR"
"1";2015-03-01;"-155.454773250216";"15.82234291";"-244.742079312995";"39.42006724";"57.1070121890001";"-59.8250977033333";"0";"-399.030081551";"-231.800044890338";"-123.72360205981";"-18.6139530870297"
"2";2015-06-01;"-161.388375941329";"12.239816954";"160.603405662172";"36.474761255";"149.650572261";"37.57972709";"0";"593.07876569";"356.879276111828";"468.682394595516";"158.930429946019"
"3";2015-09-01;"-202.746131514767";"20.882124856";"-720.071017818541";"46.42867789";"172.144472559";"-35.49446809";"0.900000000000006";"-505.342088059";"52.6186670005409";"-531.825947891721";"6.38106326805935"
"4";2015-12-01;"-234.167959734923";"15.90410393";"-74.2397277070473";"-24.131812335";"115.639661083298";"-0.168408880000018";"0";"180.57199344";"114.871838848749";"110.371038125074";"-33.6530899727957"
"5";2016-03-01;"-197.934341648617";"15.33573934";"-729.411875761633";"4.96504202999999";"132.836615341";"-70.24339483";"52.49996301";"-69.6633919014103";"409.133552709223";"-175.791377410731";"371.021896042278"
"6";2016-06-01;"-98.9152742170136";"16.11808634";"-3.44099561556033";"54.27517582";"74.8374393629998";"-36.5622347966666";"-52.5";"148.209577186667";"147.026074462561";"254.844180413187";"175.487988151728"
"7";2016-09-01;"-166.170107600812";"15.79964565";"-537.774128797373";"25.90336241";"293.905665979156";"-26.96354105";"102.47";"-41.2854413900001";"99.052842788217";"-286.574251665457";"100.829415181107"
"8";2016-12-01;"-87.1013455225412";"22.64174572";"31.7536389848652";"46.4728789";"-22.1103399693344";"9.89723317";"138.66";"285.384132073333";"193.450945127803";"-99.3504745399516";"-195.563713327358"
"9";2017-03-01;"79.0725571086694";"37.0463928";"-590.64141063727";"-531.06910821681";"-393.379443940542";"101.989773246715";"589.085";"397.86676286";"363.723282467718";"-270.843844265325";"435.916516280613"
"10";2017-06-01;"-101.307665248481";"18.23925394";"-69.2331575588407";"47.3470854949999";"244.2740494415";"0.941447008999957";"-48.85";"-64.1456806999998";"-142.048040078659";"80.6927514586682";"66.857497709026"
"11";2017-09-01;"-234.767097249756";"10.541595";"-242.237731743164";"85.61607607569";"139.568254989997";"-81.32698412";"-101.6506";"-247.8289349";"-39.2197661911438";"-17.2245878962296";"0.787641597177717"
"12";2017-12-01;"-207.587581927795";"19.25752532";"42.4243781309218";"13.06283949581";"513.338554692046";"1.20205357924994";"-94.3";"275.05511091";"-172.142928837908";"35.2297030450395";"-195.524731693677"
"13";2018-03-01;"-78.7588100866439";"27.11889864";"-28.6079461464482";"15.132356207";"403.331868438216";"-49.7426266485407";"-18.38039416";"66.9420989240004";"-324.011699649308";"-148.687969308061";"-171.719934608257"
"14";2018-06-01;"-158.74764801033";"104.79512781";"-646.893043333993";"78.110183585";"180.343893242832";"76.090630413307";"-1.36877577";"-256.83398343";"365.284756429468";"-178.343164584455";"414.597358549208"
"15";2018-09-01;"-408.76571666316";"28.25144299";"-267.701576861659";"49.3723327079999";"98.528346494097";"9.56292529280591";"-83.19817298";"22.2988251599999";"333.605486508368";"255.361772194933";"142.549075383432"
"16";2018-12-01;"-212.882446051742";"43.16419088";"-306.395372503068";"-555.91786081";"-269.460139814472";"-28.860799903931";"0.429125820000003";"-325.422561814";"-334.774836030391";"-520.083760734053";"-383.406643402728"
"17";2019-03-01;"-51.1774429387485";"39.61799587";"-88.2609746741708";"91.383709866";"333.454165132993";"74.6281548697741";"-1.35933736";"-9.22255854000015";"-87.0445469030482";"220.510889823833";"297.212417429256"
"18";2019-06-01;"-28.7354018793475";"55.90230448";"-571.520012992084";"-6.68580397999988";"134.81474044135";"-35.7203387743991";"-1.39064725";"-45.9444042800001";"349.745372766335";"-295.734277195157";"302.95263839758"
"19";2019-09-01;"-84.1902766390549";"70.7658564853982";"-307.50389121769";"46.02667975";"53.8535261992073";"1.20932055262504";"963.05488224";"434.65106467";"-227.517452248892";"266.547294835642";"560.626765899676"
"20";2019-12-01;"50.7470802428297";"81.37837602";"-47.2615229991021";"-70.2009012749999";"174.164600985217";"137.93885883";"-764.85211153";"-367.81454633";"337.872444768885";"-464.161598281639";"-284.774619019707"
"21";2020-03-01;"32.6236750013275";"59.384202275";"862.253200455855";"-27.6631734381017";"58.1057017803861";"245.548947274556";"-1.42411623";"302.64000883";"-398.409003339786";"319.70808780993";"-450.537235369597"
"22";2020-06-01;"-38.5770043075703";"31.275389";"-469.76171253047";"-51.0924609591383";"242.31996534554";"297.228741011401";"-1.45476671";"220.58483871";"695.617632657192";"-1025.99741954927";"-563.537322326366"
"23";2020-09-01;"234.897265844833";"156.040834477";"-494.793220885431";"146.647257764308";"52.0805677168678";"178.777102831383";"837.21442316";"-224.35162783";"-293.429037225747";"-321.750373041395";"563.980948165869"
"24";2020-12-01;"174.110069669662";"53.7160657804652";"292.066334421527";"46.875550952357";"34.0264028345068";"356.037264476083";"-7.50031469";"233.39808817";"317.718481032406";"-872.806419646864";"-937.046618618264"
"25";2021-03-01;"-137.783714013547";"32.71935229";"542.317858412368";"171.92540298";"338.18585846";"202.401788983694";"0";"95.3760535300002";"-410.800471378674";"26.2993992664218";"-621.082820869494"
"26";2021-06-01;"-106.470319454728";"152.28496378";"-562.102205411931";"94.09241611";"324.48732262";"-50.9892856526006";"0";"114.71889569";"395.43690893933";"-397.999702248839";"209.917147488363"
"27";2021-09-01;"-499.210384906418";"47.0479955";"-1311.49641672631";"242.8122644";"217.93817325";"-484.647441166279";"0";"150.93627869";"1002.65934540003";"-66.7693574771473";"792.564669842744"
